Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,pod1-leaf-1,Ethernet1,10.255.255.1/31,spine,pod1-spine-1,Ethernet3,10.255.255.0/31
l3leaf,pod1-leaf-1,Ethernet2,10.255.255.3/31,spine,pod1-spine-2,Ethernet3,10.255.255.2/31
l3leaf,pod1-leaf-2,Ethernet1,10.255.255.5/31,spine,pod1-spine-1,Ethernet4,10.255.255.4/31
l3leaf,pod1-leaf-2,Ethernet2,10.255.255.7/31,spine,pod1-spine-2,Ethernet4,10.255.255.6/31
l3leaf,pod1-leaf-3,Ethernet1,10.255.255.9/31,spine,pod1-spine-1,Ethernet5,10.255.255.8/31
l3leaf,pod1-leaf-3,Ethernet2,10.255.255.11/31,spine,pod1-spine-2,Ethernet5,10.255.255.10/31
l3leaf,pod1-leaf-4,Ethernet1,10.255.255.13/31,spine,pod1-spine-1,Ethernet6,10.255.255.12/31
l3leaf,pod1-leaf-4,Ethernet2,10.255.255.15/31,spine,pod1-spine-2,Ethernet6,10.255.255.14/31
l3leaf,pod1-leaf-5,Ethernet1,10.255.255.17/31,spine,pod1-spine-1,Ethernet7,10.255.255.16/31
l3leaf,pod1-leaf-5,Ethernet2,10.255.255.19/31,spine,pod1-spine-2,Ethernet7,10.255.255.18/31
l3leaf,pod1-leaf-6,Ethernet1,10.255.255.21/31,spine,pod1-spine-1,Ethernet8,10.255.255.20/31
l3leaf,pod1-leaf-6,Ethernet2,10.255.255.23/31,spine,pod1-spine-2,Ethernet8,10.255.255.22/31
l3leaf,pod1-leaf-7,Ethernet1,10.255.255.25/31,spine,pod1-spine-1,Ethernet9,10.255.255.24/31
l3leaf,pod1-leaf-7,Ethernet2,10.255.255.27/31,spine,pod1-spine-2,Ethernet9,10.255.255.26/31
l3leaf,pod1-leaf-8,Ethernet1,10.255.255.29/31,spine,pod1-spine-1,Ethernet10,10.255.255.28/31
l3leaf,pod1-leaf-8,Ethernet2,10.255.255.31/31,spine,pod1-spine-2,Ethernet10,10.255.255.30/31
l3leaf,pod1-leaf-9,Ethernet1,10.255.255.33/31,spine,pod1-spine-1,Ethernet11,10.255.255.32/31
l3leaf,pod1-leaf-9,Ethernet2,10.255.255.35/31,spine,pod1-spine-2,Ethernet11,10.255.255.34/31
l3leaf,pod1-leaf-10,Ethernet1,10.255.255.37/31,spine,pod1-spine-1,Ethernet12,10.255.255.36/31
l3leaf,pod1-leaf-10,Ethernet2,10.255.255.39/31,spine,pod1-spine-2,Ethernet12,10.255.255.38/31
l3leaf,pod1-leaf-11,Ethernet1,10.255.255.41/31,spine,pod1-spine-1,Ethernet13,10.255.255.40/31
l3leaf,pod1-leaf-11,Ethernet2,10.255.255.43/31,spine,pod1-spine-2,Ethernet13,10.255.255.42/31
l3leaf,pod1-leaf-12,Ethernet1,10.255.255.45/31,spine,pod1-spine-1,Ethernet14,10.255.255.44/31
l3leaf,pod1-leaf-12,Ethernet2,10.255.255.47/31,spine,pod1-spine-2,Ethernet14,10.255.255.46/31
l3leaf,pod1-leaf-13,Ethernet1,10.255.255.49/31,spine,pod1-spine-1,Ethernet15,10.255.255.48/31
l3leaf,pod1-leaf-13,Ethernet2,10.255.255.51/31,spine,pod1-spine-2,Ethernet15,10.255.255.50/31
l3leaf,pod1-leaf-14,Ethernet1,10.255.255.53/31,spine,pod1-spine-1,Ethernet16,10.255.255.52/31
l3leaf,pod1-leaf-14,Ethernet2,10.255.255.55/31,spine,pod1-spine-2,Ethernet16,10.255.255.54/31
l3leaf,pod1-leaf-15,Ethernet1,10.255.255.57/31,spine,pod1-spine-1,Ethernet17,10.255.255.56/31
